ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1009,,after_candidate_limit,,33,1,8,1,11.67,10.5,0.5,1.38,2,8,0.9403081339712919,0.4719518107392286
1010,,after_candidate_limit,,57,2,7,2,11.67,10.5,0.5,2,2,3,0.9403052631578948,0.47516400863166247
1011,,after_candidate_limit,,356,14,6,14,11.67,5.25,0.5,0.75,2,2,0.9402813397129186,0.47526330843686576
1012,,after_candidate_limit,,381,15,6,15,11.67,5.25,0.5,1.38,2,2,0.9402775119617225,0.47413015577998296
1013,,after_candidate_limit,,406,16,6,16,11.67,5.25,0.5,2,2,2,0.9402593301435407,0.4738007158486677
1014,,after_candidate_limit,,2610,104,10,104,15,6.75,3,4.5,3,1,0.9402,0.5150007275514102
1015,,after_candidate_limit,,532,21,7,21,11.67,7,0.5,0.75,2,3,0.9401990430622009,0.47461954405056356
1016,,after_candidate_limit,,582,23,7,23,11.67,7,0.5,2,2,3,0.9401578947368421,0.4721142957125577
1017,,after_candidate_limit,,557,22,7,22,11.67,7,0.5,1.38,2,3,0.9401569377990431,0.47257291097684095
1018,,after_candidate_limit,,1985,79,10,79,13.89,8.33,0.5,2,3,1,0.9401263157894737,0.5215562788640061
1019,,after_candidate_limit,,1936,77,11,77,13.89,8.33,0.5,0.75,3,2,0.9400698564593302,0.5032526330289686
1020,,after_candidate_limit,,1730,69,5,69,13.89,4.17,3,4.5,2,1,0.9400588516746411,0.4915368395104578
1021,,after_candidate_limit,,1507,60,7,60,13.89,12.5,1.33,3.67,2,3,0.9400526315789474,0.47709555548607707
1022,,after_candidate_limit,,1482,59,7,59,13.89,12.5,1.33,2,2,3,0.9400038277511962,0.4788214075540897
1023,,after_candidate_limit,,407,16,7,16,11.67,5.25,0.5,2,2,3,0.9399980861244019,0.4700208538276387
1024,,after_candidate_limit,,357,14,7,14,11.67,5.25,0.5,0.75,2,3,0.9399961722488038,0.47193906983906847
1025,,after_candidate_limit,,382,15,7,15,11.67,5.25,0.5,1.38,2,3,0.9399569377990431,0.4707247005445693
1026,,after_candidate_limit,,231,9,6,9,11.67,3.5,0.5,2,2,2,0.9399272727272727,0.46872409415152927
1027,,after_candidate_limit,,181,7,6,7,11.67,3.5,0.5,0.75,2,2,0.939912918660287,0.4697020166962453
1028,,after_candidate_limit,,206,8,6,8,11.67,3.5,0.5,1.38,2,2,0.939911961722488,0.46864118369724284
1029,,after_candidate_limit,,2082,83,7,83,13.89,8.33,3,4.5,2,3,0.9398703349282297,0.49127600987775505
1030,,after_candidate_limit,,1481,59,6,59,13.89,12.5,1.33,2,2,2,0.9398047846889952,0.4806601521139766
1031,,after_candidate_limit,,1961,78,11,78,13.89,8.33,0.5,1.38,3,2,0.9397578947368421,0.5002877133846182
1032,,after_candidate_limit,,2255,90,5,90,15,13.5,3,4.5,2,1,0.9397444976076555,0.48690822102542447
1033,,after_candidate_limit,,1585,63,10,63,13.89,4.17,0.5,0.75,3,1,0.9396861244019139,0.5004732228995644
1034,,after_candidate_limit,,1986,79,11,79,13.89,8.33,0.5,2,3,2,0.9396794258373206,0.49924860017866296
1035,,after_candidate_limit,,182,7,7,7,11.67,3.5,0.5,0.75,2,3,0.9396736842105263,0.46528162111495114
1036,,after_candidate_limit,,232,9,7,9,11.67,3.5,0.5,2,2,3,0.9396736842105263,0.4654501697968973
1037,,after_candidate_limit,,1559,62,9,62,13.89,12.5,3,4.5,2,15,0.9396722488038277,0.48826181855088846
1038,,after_candidate_limit,,207,8,7,8,11.67,3.5,0.5,1.38,2,3,0.9396679425837321,0.4652539265266941
1039,,after_candidate_limit,,2785,111,10,111,15,9,3,4.5,3,1,0.9396153110047847,0.5152101592791807
1040,,after_candidate_limit,,5,0,5,0,11.67,10.5,0.5,0.75,2,1,0.9395866028708134,0.49251495627209674
1041,,after_candidate_limit,,1506,60,6,60,13.89,12.5,1.33,3.67,2,2,0.9395827751196172,0.4761571918041197
1042,,after_candidate_limit,,9,0,9,0,11.67,10.5,0.5,0.75,2,15,0.9395684210526316,0.46215739488473234
1043,,after_candidate_limit,,1906,76,6,76,13.89,6.25,3,4.5,2,2,0.939566985645933,0.48710569475656207
1044,,after_candidate_limit,,2786,111,11,111,15,9,3,4.5,3,2,0.9394727272727272,0.5035484324185729
1045,,after_candidate_limit,,583,23,8,23,11.67,7,0.5,2,2,8,0.9394516746411483,0.4571223616159001
1046,,after_candidate_limit,,533,21,8,21,11.67,7,0.5,0.75,2,8,0.9394497607655502,0.45755499638718505
1047,,after_candidate_limit,,558,22,8,22,11.67,7,0.5,1.38,2,8,0.9394497607655502,0.4571068836043017
1048,,after_candidate_limit,,1907,76,7,76,13.89,6.25,3,4.5,2,3,0.9394444976076555,0.48651729600506427
1049,,after_candidate_limit,,183,7,8,7,11.67,3.5,0.5,0.75,2,8,0.9394334928229665,0.4568880219739759
1050,,after_candidate_limit,,184,7,9,7,11.67,3.5,0.5,0.75,2,15,0.9394334928229665,0.4568880219739759
1051,,after_candidate_limit,,208,8,8,8,11.67,3.5,0.5,1.38,2,8,0.9394334928229665,0.4568880219739759
1052,,after_candidate_limit,,209,8,9,8,11.67,3.5,0.5,1.38,2,15,0.9394334928229665,0.4568880219739759
1053,,after_candidate_limit,,233,9,8,9,11.67,3.5,0.5,2,2,8,0.9394334928229665,0.4568880219739759
1054,,after_candidate_limit,,234,9,9,9,11.67,3.5,0.5,2,2,15,0.9394334928229665,0.4568880219739759
1055,,after_candidate_limit,,358,14,8,14,11.67,5.25,0.5,0.75,2,8,0.9394334928229665,0.4568880219739759
1056,,after_candidate_limit,,359,14,9,14,11.67,5.25,0.5,0.75,2,15,0.9394334928229665,0.4568880219739759
1057,,after_candidate_limit,,383,15,8,15,11.67,5.25,0.5,1.38,2,8,0.9394334928229665,0.4568880219739759
1058,,after_candidate_limit,,384,15,9,15,11.67,5.25,0.5,1.38,2,15,0.9394334928229665,0.4568880219739759
1059,,after_candidate_limit,,408,16,8,16,11.67,5.25,0.5,2,2,8,0.9394334928229665,0.4568880219739759
1060,,after_candidate_limit,,409,16,9,16,11.67,5.25,0.5,2,2,15,0.9394334928229665,0.4568880219739759
1061,,after_candidate_limit,,534,21,9,21,11.67,7,0.5,0.75,2,15,0.9394334928229665,0.4568880219739759
1062,,after_candidate_limit,,559,22,9,22,11.67,7,0.5,1.38,2,15,0.9394334928229665,0.4568880219739759
1063,,after_candidate_limit,,584,23,9,23,11.67,7,0.5,2,2,15,0.9394334928229665,0.4568880219739759
1064,,after_candidate_limit,,34,1,9,1,11.67,10.5,0.5,1.38,2,15,0.9394325358851675,0.4612285774786889
1065,,after_candidate_limit,,1731,69,6,69,13.89,4.17,3,4.5,2,2,0.9394234449760765,0.48441383043025943
1066,,after_candidate_limit,,59,2,9,2,11.67,10.5,0.5,2,2,15,0.9394200956937799,0.46049008329757146
1067,,after_candidate_limit,,1610,64,10,64,13.89,4.17,0.5,1.38,3,1,0.9393846889952153,0.4925163208213773
