ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
2515,,after_candidate_limit,,1320,52,20,52,12.78,7.67,1.33,2,20,1,0.874288038277512,0.37346620157387517
2516,,after_candidate_limit,,1871,74,21,74,13.89,6.25,1.33,3.67,20,2,0.8831114832535886,0.3734518427639762
2517,,after_candidate_limit,,996,39,21,39,12.78,3.83,1.33,3.67,20,2,0.884733971291866,0.37332159463771114
2518,,after_candidate_limit,,971,38,21,38,12.78,3.83,1.33,2,20,2,0.8847311004784689,0.37326614986854717
2519,,after_candidate_limit,,1695,67,20,67,13.89,4.17,1.33,3.67,20,1,0.8827966507177033,0.37306493300415866
2520,,after_candidate_limit,,794,31,19,31,12.78,11.5,1.33,2,6,15,0.898256937799043,0.37293976056850875
2521,,after_candidate_limit,,1192,47,17,47,12.78,5.75,2.17,3.25,6,3,0.8794186602870814,0.3729285513544142
2522,,after_candidate_limit,,1191,47,16,47,12.78,5.75,2.17,3.25,6,2,0.8796330143540669,0.37287391757536875
2523,,after_candidate_limit,,1343,53,18,53,12.78,7.67,1.33,3.67,6,8,0.8986569377990431,0.37283886287459816
2524,,after_candidate_limit,,1040,41,15,41,12.78,3.83,3,4.5,6,1,0.8793832535885168,0.372835402048161
2525,,after_candidate_limit,,688,27,13,27,11.67,7,3,4.5,3,8,0.898222966507177,0.372802414561583
2526,,after_candidate_limit,,819,32,19,32,12.78,11.5,1.33,3.67,6,15,0.8981086124401914,0.3727845875851921
2527,,after_candidate_limit,,3512,140,12,140,9.44,2.83,0.5,0.75,3,3,0.9130148325358851,0.372778515355623
2528,,after_candidate_limit,,4180,167,5,167,9.44,8.5,3,4.5,2,1,0.8683583732057416,0.3727626650252485
2529,,after_candidate_limit,,66,2,16,2,11.67,10.5,0.5,2,6,2,0.9008775119617225,0.3727443212818055
2530,,after_candidate_limit,,513,20,13,20,11.67,5.25,3,4.5,3,8,0.8982086124401913,0.37264881399568445
2531,,after_candidate_limit,,1318,52,18,52,12.78,7.67,1.33,2,6,8,0.8986282296650717,0.3725897369484565
2532,,after_candidate_limit,,338,13,13,13,11.67,3.5,3,4.5,3,8,0.8982028708133971,0.3725790188697023
2533,,after_candidate_limit,,339,13,14,13,11.67,3.5,3,4.5,3,15,0.8982028708133971,0.3725790188697023
2534,,after_candidate_limit,,514,20,14,20,11.67,5.25,3,4.5,3,15,0.8982028708133971,0.3725790188697023
2535,,after_candidate_limit,,689,27,14,27,11.67,7,3,4.5,3,15,0.8982028708133971,0.3725790188697023
2536,,after_candidate_limit,,440,17,15,17,11.67,5.25,1.33,2,6,1,0.8776717703349283,0.3724522376934712
2537,,after_candidate_limit,,997,39,22,39,12.78,3.83,1.33,3.67,20,3,0.8846535885167464,0.37243849029051423
2538,,after_candidate_limit,,1345,53,20,53,12.78,7.67,1.33,3.67,20,1,0.8712861244019139,0.37242926437584856
2539,,after_candidate_limit,,3570,142,20,142,9.44,2.83,0.5,2,20,1,0.8579966507177034,0.3723912532310265
2540,,after_candidate_limit,,972,38,22,38,12.78,3.83,1.33,2,20,3,0.8846507177033492,0.3723642428341619
2541,,after_candidate_limit,,3545,141,20,141,9.44,2.83,0.5,1.38,20,1,0.8580306220095694,0.3723516479345211
2542,,after_candidate_limit,,2446,97,21,97,15,4.5,3,4.5,20,2,0.8849803827751196,0.3723239678830449
2543,,after_candidate_limit,,1948,77,23,77,13.89,8.33,0.5,0.75,20,8,0.9038894736842106,0.3723186759452178
2544,,after_candidate_limit,,1560,62,10,62,13.89,12.5,3,4.5,3,1,0.9003866028708134,0.3722057397117768
2545,,after_candidate_limit,,1416,56,16,56,13.89,12.5,0.5,0.75,6,2,0.8889928229665072,0.37216969883362117
2546,,after_candidate_limit,,2596,103,21,103,15,6.75,2.17,3.25,20,2,0.8630980861244019,0.372012434457531
2547,,after_candidate_limit,,1071,42,21,42,12.78,5.75,0.5,0.75,20,2,0.8792100478468899,0.3720016290399664
2548,,after_candidate_limit,,3562,142,12,142,9.44,2.83,0.5,2,3,3,0.9130229665071771,0.37195810259623513
2549,,after_candidate_limit,,3537,141,12,141,9.44,2.83,0.5,1.38,3,3,0.9129913875598086,0.3718626451226888
2550,,after_candidate_limit,,4046,161,21,161,9.44,8.5,0.5,0.75,20,2,0.8539215311004784,0.371824849430282
2551,,after_candidate_limit,,1396,55,21,55,12.78,7.67,3,4.5,20,2,0.8621454545454545,0.37180765715529335
2552,,after_candidate_limit,,3896,155,21,155,9.44,5.66,0.5,1.38,20,2,0.8576387559808613,0.37180306425436227
2553,,after_candidate_limit,,136,5,11,5,11.67,10.5,2.17,3.25,3,2,0.8945023923444976,0.37174141589601983
2554,,after_candidate_limit,,2071,82,21,82,13.89,8.33,2.17,3.25,20,2,0.8527215311004784,0.37147122338374233
2555,,after_candidate_limit,,572,22,22,22,11.67,7,0.5,1.38,20,3,0.8795574162679426,0.3714447335601317
2556,,after_candidate_limit,,4096,163,21,163,9.44,8.5,0.5,2,20,2,0.8509023923444976,0.3714159981276274
2557,,after_candidate_limit,,1216,48,16,48,12.78,5.75,3,4.5,6,2,0.8793851674641149,0.3714027975976293
2558,,after_candidate_limit,,2096,83,21,83,13.89,8.33,3,4.5,20,2,0.8560995215311005,0.3712910004754618
2559,,after_candidate_limit,,1271,50,21,50,12.78,7.67,0.5,1.38,20,2,0.8760277511961723,0.3712794699952621
2560,,after_candidate_limit,,1217,48,17,48,12.78,5.75,3,4.5,6,3,0.8791717703349282,0.37106965104131895
2561,,after_candidate_limit,,220,8,20,8,11.67,3.5,0.5,1.38,20,1,0.8795545454545455,0.3710679282464669
2562,,after_candidate_limit,,1016,40,16,40,12.78,3.83,2.17,3.25,6,2,0.8793870813397129,0.3710172828109665
2563,,after_candidate_limit,,2723,108,23,108,15,9,1.33,2,20,8,0.8998148325358851,0.3709723191343595
2564,,after_candidate_limit,,1847,73,22,73,13.89,6.25,1.33,2,20,3,0.8826047846889952,0.37092044719626277
2565,,after_candidate_limit,,396,15,21,15,11.67,5.25,0.5,1.38,20,2,0.8797961722488038,0.3709024282624157
2566,,after_candidate_limit,,2447,97,22,97,15,4.5,3,4.5,20,3,0.8847497607655502,0.37088362998978114
2567,,after_candidate_limit,,421,16,21,16,11.67,5.25,0.5,2,20,2,0.8798081339712919,0.3708653394237989
2568,,after_candidate_limit,,1872,74,22,74,13.89,6.25,1.33,3.67,20,3,0.8826047846889952,0.37085367726826607
2569,,after_candidate_limit,,2748,109,23,109,15,9,1.33,3.67,20,8,0.8998071770334928,0.3708197413994058
2570,,after_candidate_limit,,3921,156,21,156,9.44,5.66,0.5,2,20,2,0.8576856459330143,0.3707528753021208
2571,,after_candidate_limit,,1195,47,20,47,12.78,5.75,2.17,3.25,20,1,0.8533430622009569,0.3706844873603362
2572,,after_candidate_limit,,4071,162,21,162,9.44,8.5,0.5,1.38,20,2,0.8509444976076554,0.3706837213792601
2573,,after_candidate_limit,,1671,66,21,66,13.89,4.17,1.33,2,20,2,0.8826751196172249,0.37064375270120387
2574,,after_candidate_limit,,597,23,22,23,11.67,7,0.5,2,20,3,0.8795641148325359,0.3706101625885606
2575,,after_candidate_limit,,4038,161,13,161,9.44,8.5,0.5,0.75,3,8,0.9128215311004785,0.3706055093613062
2576,,after_candidate_limit,,465,18,15,18,11.67,5.25,1.33,3.67,6,1,0.8777569377990431,0.3705450672523334
2577,,after_candidate_limit,,2020,80,20,80,13.89,8.33,1.33,2,20,1,0.8491928229665072,0.37050655287393597
