endpoint_id,score_focal_hla__pr__regime_1225,score_focal_hla__pr__regime_1400,score_focal_hla__pr__regime_1451,score_focal_hla__pr__regime_1452,score_focal_hla__pr__regime_1775,score_focal_hla__pr__regime_1925,score_focal_hla__pr__regime_1926,score_focal_hla__pr__regime_2100,score_focal_hla__pr__regime_2101,score_focal_hla__pr__regime_2127,score_focal_hla__pr__regime_2153,score_focal_hla__pr__regime_2154,score_focal_hla__pr__regime_2275,score_focal_hla__pr__regime_2450,score_focal_hla__pr__regime_2451,score_focal_hla__pr__regime_2502,score_focal_hla__pr__regime_2625,score_focal_hla__pr__regime_2627,score_focal_hla__pr__regime_2676,score_focal_hla__pr__regime_725
nci_obs_000030,-0.9031508564949036,-2.099745512008667,-2.085658550262451,-2.0844078063964844,-0.805982768535614,-1.1569039821624756,-0.8485802412033081,-1.837175965309143,-1.813274621963501,-1.8117533922195435,-1.5276035070419312,-0.8064929842948914,-0.8059628009796143,-0.8192716836929321,-0.806242823600769,-0.8059127926826477,-1.7721819877624512,-0.8308717012405396,-0.8442171216011047,-2.374128818511963
nci_obs_000031,-1.7252330780029297,-1.4018077850341797,-1.3569629192352295,-1.3537774085998535,-1.3536674976348877,-1.3538475036621094,-1.3536674976348877,-1.2632118463516235,-1.1429195404052734,-1.121545672416687,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202749013900757,-1.1202648878097534,-1.1202648878097534,-1.1207849979400635,-1.1202648878097534,-1.1202648878097534,-1.7361328601837158
nci_obs_000032,-5.6418256759643555,-4.668206691741943,-4.668206691741943,-4.668206691741943,-4.668206691741943,-4.668206691741943,-4.668206691741943,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-5.6418256759643555
nci_obs_000033,-1.0692802667617798,-1.817061185836792,-1.797845482826233,-1.796724796295166,-0.8390344977378845,-1.3796716928482056,-0.9463608264923096,-1.5410983562469482,-1.4967584609985352,-1.4920355081558228,-1.4916454553604126,-1.4916454553604126,-0.8369401693344116,-0.8991583585739136,-0.8393555879592896,-0.8359096050262451,-1.4922655820846558,-0.9049704074859619,-1.140141248703003,-2.1698758602142334
nci_obs_000034,-3.5853161811828613,-3.143503189086914,-3.139866352081299,-3.1398062705993652,-3.1398463249206543,-3.1399264335632324,-3.1398062705993652,-2.73696231842041,-2.7279179096221924,-2.7275278568267822,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72755765914917,-2.72751784324646,-2.72751784324646,-2.727717638015747,-2.72751784324646,-2.72751784324646,-3.5866973400115967
nci_obs_000035,-2.049834728240967,-1.5008190870285034,-1.4916672706604004,-1.4916672706604004,-1.4916672706604004,-1.4916672706604004,-1.4916672706604004,-1.2007793188095093,-1.155400276184082,-1.1510305404663086,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-2.0499045848846436
nci_obs_000036,-2.4135689735412598,-1.896428108215332,-1.890238881111145,-1.8902288675308228,-1.8902288675308228,-1.890238881111145,-1.8902288675308228,-1.4861013889312744,-1.4621933698654175,-1.4607423543930054,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.4607523679733276,-1.460732340812683,-1.460732340812683,-2.414078950881958
nci_obs_000037,-0.7743967175483704,-2.330559492111206,-1.6711572408676147,-1.1882189512252808,-0.7467023134231567,-0.7815496325492859,-0.7472636103630066,-2.4466681480407715,-2.4431917667388916,-1.8279350996017456,-0.7748209834098816,-0.7436398267745972,-0.743729829788208,-0.7486020922660828,-0.7437198162078857,-0.7436197996139526,-0.8233867287635803,-0.7443200945854187,-0.747547447681427,-1.737027883529663
nci_obs_000038,-0.6766704320907593,-1.020378589630127,-0.7419906258583069,-0.6557748913764954,-0.6474975347518921,-0.6973947882652283,-0.64910888671875,-1.0064575672149658,-0.7949591875076294,-0.6805763840675354,-0.6474475264549255,-0.6474475264549255,-0.6474775075912476,-0.6508429050445557,-0.6474675536155701,-0.6474475264549255,-0.7118215560913086,-0.6474775075912476,-0.6487782597541809,-1.132744550704956
nci_obs_000039,-0.730688750743866,-1.0134644508361816,-0.7783861756324768,-0.7232285141944885,-0.7037928700447083,-0.7363495826721191,-0.7040229439735413,-1.002191424369812,-0.8537225723266602,-0.7418082356452942,-0.7027724385261536,-0.702692449092865,-0.7027824521064758,-0.7063877582550049,-0.7027024626731873,-0.702692449092865,-0.7342057228088379,-0.7027024626731873,-0.7027424573898315,-0.9773168563842773
nci_obs_000040,-0.48978835344314575,-0.731221079826355,-0.5363515019416809,-0.4956524074077606,-0.4886076748371124,-0.4927462041378021,-0.4886176884174347,-0.7430977821350098,-0.5983472466468811,-0.5092096328735352,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4887676537036896,-0.4886076748371124,-0.4886076748371124,-0.49601224064826965,-0.4886076748371124,-0.4886076748371124,-0.6664957404136658
