ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
294,,after_candidate_limit,,2681,107,6,107,15,9,0.5,2,2,2,0.9346440191387559,0.4774901395164261
295,,after_candidate_limit,,826,33,1,33,12.78,11.5,2.17,3.25,1,2,0.9455818181818182,0.47741933692507144
296,,after_candidate_limit,,1852,74,2,74,13.89,6.25,1.33,3.67,1,3,0.947888038277512,0.47724215324604935
297,,after_candidate_limit,,1928,77,3,77,13.89,8.33,0.5,0.75,1,8,0.9499425837320574,0.47723483782282183
298,,after_candidate_limit,,1827,73,2,73,13.89,6.25,1.33,2,1,3,0.9478870813397129,0.4772331868699597
299,,after_candidate_limit,,1405,56,5,56,13.89,12.5,0.5,0.75,2,1,0.9332899521531101,0.47721522512867803
300,,after_candidate_limit,,2105,84,5,84,15,13.5,0.5,0.75,2,1,0.9345167464114833,0.4770731967991522
301,,after_candidate_limit,,2656,106,6,106,15,9,0.5,1.38,2,2,0.9346057416267942,0.4770243164395804
302,,after_candidate_limit,,776,31,1,31,12.78,11.5,1.33,2,1,2,0.9466162679425837,0.47689543932036205
303,,after_candidate_limit,,2631,105,6,105,15,9,0.5,0.75,2,2,0.9345885167464115,0.4762840818116591
304,,after_candidate_limit,,1554,62,4,62,13.89,12.5,3,4.5,1,15,0.9474354066985646,0.4762433499201236
305,,after_candidate_limit,,900,36,0,36,12.78,3.83,0.5,1.38,1,1,0.9478861244019139,0.47614870183430263
306,,after_candidate_limit,,925,37,0,37,12.78,3.83,0.5,2,1,1,0.9478918660287081,0.4759956101136871
307,,after_candidate_limit,,1930,77,5,77,13.89,8.33,0.5,0.75,2,1,0.9318870813397129,0.4758778760214974
308,,after_candidate_limit,,801,32,1,32,12.78,11.5,1.33,3.67,1,2,0.9465913875598087,0.4757584720852421
309,,after_candidate_limit,,1529,61,4,61,13.89,12.5,2.17,3.25,1,15,0.9476497607655502,0.4756586451059988
310,,after_candidate_limit,,1200,48,0,48,12.78,5.75,3,4.5,1,1,0.9433559808612441,0.4753568562052023
