endpoint_id,score_full_hla__pr__regime_1225,score_full_hla__pr__regime_1400,score_full_hla__pr__regime_1451,score_full_hla__pr__regime_1775,score_full_hla__pr__regime_1926,score_full_hla__pr__regime_1950,score_full_hla__pr__regime_2100,score_full_hla__pr__regime_2126,score_full_hla__pr__regime_2153,score_full_hla__pr__regime_2154,score_full_hla__pr__regime_2275,score_full_hla__pr__regime_2450,score_full_hla__pr__regime_2451,score_full_hla__pr__regime_2505,score_full_hla__pr__regime_2625,score_full_hla__pr__regime_2676,score_full_hla__pr__regime_2677,score_full_hla__pr__regime_2680,score_full_hla__pr__regime_2681,score_full_hla__pr__regime_725
nci_obs_000043,-1.170350193977356,-1.4667824506759644,-1.2317911386489868,-1.1699901819229126,-1.1700001955032349,-1.1701900959014893,-1.5369046926498413,-1.2826964855194092,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.170030117034912,-1.1699901819229126,-1.1710807085037231,-1.175927758216858,-1.1699901819229126,-1.1699901819229126,-1.1780953407287598,-1.17111074924469,-1.3288334608078003
nci_obs_000044,-0.6718295216560364,-2.3055238723754883,-1.2370567321777344,-0.6590071320533752,-0.6590772867202759,-0.6712449789047241,-1.9756649732589722,-1.9706215858459473,-0.6893981695175171,-0.6578765511512756,-0.6581966280937195,-0.6608610153198242,-0.6579465270042419,-0.6602293252944946,-0.7039728760719299,-0.6601691842079163,-0.6579765677452087,-0.6917333006858826,-0.6601691842079163,-1.2403016090393066
nci_obs_000045,-1.871889352798462,-1.4735227823257446,-1.438797950744629,-1.4373669624328613,-1.4373669624328613,-1.4373769760131836,-1.3215281963348389,-1.2026656866073608,-1.1874709129333496,-1.1874709129333496,-1.1874709129333496,-1.1874709129333496,-1.1874709129333496,-1.493029236793518,-1.1875908374786377,-1.1874709129333496,-1.1874709129333496,-1.4930591583251953,-1.493029236793518,-1.8761284351348877
nci_obs_000046,-1.1926602125167847,-1.482825756072998,-1.3026522397994995,-1.1130952835083008,-1.126267910003662,-1.2381622791290283,-1.5614739656448364,-1.2651159763336182,-1.1083412170410156,-1.1074209213256836,-1.1077710390090942,-1.1211475133895874,-1.1085413694381714,-1.1240198612213135,-1.1909815073013306,-1.1397156715393066,-1.1125375032424927,-1.325548529624939,-1.156383752822876,-1.539913535118103
nci_obs_000047,-2.7209627628326416,-2.1878795623779297,-2.1748714447021484,-2.1745715141296387,-2.1745715141296387,-2.1745715141296387,-1.8593621253967285,-1.8105087280273438,-1.8069523572921753,-1.8069523572921753,-1.8069523572921753,-1.8069523572921753,-1.8069523572921753,-2.291151762008667,-1.8070024251937866,-1.8069523572921753,-1.8069523572921753,-2.2911717891693115,-2.291151762008667,-2.7225842475891113
nci_obs_000048,-1.2188485860824585,-0.9269299507141113,-0.8620758056640625,-0.8666301965713501,-0.861215353012085,-0.8666402101516724,-0.8893872499465942,-0.7327983975410461,-0.6996344923973083,-0.6996344923973083,-0.7044460773468018,-0.7049787640571594,-0.6996545195579529,-0.8987530469894409,-0.7055922150611877,-0.6996644735336304,-0.6996344923973083,-0.8987530469894409,-0.8933281898498535,-1.2217788696289063
nci_obs_000049,-1.446765661239624,-1.6399154663085938,-1.4672809839248657,-1.3559222221374512,-1.3559222221374512,-1.3559322357177734,-1.6678918600082397,-1.4850391149520874,-1.3446015119552612,-1.3443114757537842,-1.3443114757537842,-1.3443315029144287,-1.3443114757537842,-1.3470962047576904,-1.3458226919174194,-1.3443114757537842,-1.3443114757537842,-1.347116231918335,-1.3470962047576904,-1.565798282623291
nci_obs_000050,-0.6992111206054688,-0.7999497652053833,-0.652133584022522,-0.5880749225616455,-0.5880749225616455,-0.5882249474525452,-0.8698157668113708,-0.6449173092842102,-0.5735992193222046,-0.5735992193222046,-0.5735992193222046,-0.5736392140388489,-0.5735992193222046,-0.5760424733161926,-0.5749101042747498,-0.5735992193222046,-0.5735992193222046,-0.5764025449752808,-0.5760424733161926,-0.7498393058776855
nci_obs_000051,-1.4970276355743408,-1.6849803924560547,-1.518365502357483,-1.4242647886276245,-1.4244147539138794,-1.4301422834396362,-1.6802738904953003,-1.5266191959381104,-1.4179837703704834,-1.4178037643432617,-1.4178037643432617,-1.4183839559555054,-1.4178037643432617,-1.418634057044983,-1.4271069765090942,-1.4184439182281494,-1.417813777923584,-1.4329466819763184,-1.4190841913223267,-1.6802122592926025
nci_obs_000052,-1.3503714799880981,-1.7320460081100464,-1.488938331604004,-1.3371491432189941,-1.337469220161438,-1.3388606309890747,-1.7001320123672485,-1.4852099418640137,-1.337239146232605,-1.3370091915130615,-1.3370091915130615,-1.337279200553894,-1.3370091915130615,-1.33708918094635,-1.351913332939148,-1.3372591733932495,-1.3370091915130615,-1.345420479774475,-1.337339162826538,-1.7641897201538086
nci_obs_000053,-2.2026865482330322,-4.167217254638672,-3.510301113128662,-2.1949870586395264,-2.1966183185577393,-2.203301429748535,-3.795095920562744,-3.7900021076202393,-2.2327513694763184,-2.1949870586395264,-2.1949870586395264,-2.1959075927734375,-2.1949970722198486,-2.1949870586395264,-2.2839057445526123,-2.1983225345611572,-2.195096969604492,-2.245333433151245,-2.1983225345611572,-3.695660352706909
nci_obs_000054,-4.489233016967773,-4.533578395843506,-4.330622673034668,-4.266542434692383,-4.266542434692383,-4.266542434692383,-4.577531814575195,-4.391540050506592,-4.210615158081055,-4.210615158081055,-4.210615158081055,-4.210615158081055,-4.210615158081055,-4.2399702072143555,-4.210965156555176,-4.210615158081055,-4.210615158081055,-4.2399702072143555,-4.2399702072143555,-4.515844345092773
nci_obs_000055,-1.1901904344558716,-1.6921131610870361,-1.3760228157043457,-1.1877386569976807,-1.1879286766052246,-1.1881687641143799,-2.344088315963745,-1.680002212524414,-1.1897506713867188,-1.1877386569976807,-1.1877386569976807,-1.1877986192703247,-1.1877386569976807,-1.1877386569976807,-1.1933672428131104,-1.187748670578003,-1.1877386569976807,-1.1887891292572021,-1.1877586841583252,-1.495940089225769
nci_obs_000056,2.1972272396087646,0.8996169567108154,0.9111337661743164,2.2453858852386475,2.2255795001983643,2.1871178150177,1.2075245380401611,1.231718897819519,1.2344025373458862,2.1021764278411865,2.245795965194702,2.2350971698760986,2.245605945587158,2.2451956272125244,1.9010502099990845,2.2139487266540527,2.2430014610290527,2.042600631713867,2.2139487266540527,0.5409002900123596
nci_obs_000057,-0.7927582263946533,-2.055746555328369,-1.5601741075515747,-0.7821143269538879,-0.7837262153625488,-0.78865647315979,-2.6264212131500244,-2.555429458618164,-0.8239491581916809,-0.7818343043327332,-0.7817642688751221,-0.7824544906616211,-0.7817342877388,-0.782564640045166,-0.806373119354248,-0.7822443246841431,-0.7818242907524109,-0.7931560277938843,-0.7834752798080444,-1.3658126592636108
