endpoint_id,score_mono_q_full_pn__roc__regime_1750,score_mono_q_full_pn__roc__regime_1925,score_mono_q_full_pn__roc__regime_1976,score_mono_q_full_pn__roc__regime_2104,score_mono_q_full_pn__roc__regime_2128,score_mono_q_full_pn__roc__regime_2275,score_mono_q_full_pn__roc__regime_2277,score_mono_q_full_pn__roc__regime_2278,score_mono_q_full_pn__roc__regime_2279,score_mono_q_full_pn__roc__regime_2326,score_mono_q_full_pn__roc__regime_2450,score_mono_q_full_pn__roc__regime_2452,score_mono_q_full_pn__roc__regime_2453,score_mono_q_full_pn__roc__regime_2454,score_mono_q_full_pn__roc__regime_2476,score_mono_q_full_pn__roc__regime_2625,score_mono_q_full_pn__roc__regime_2629,score_mono_q_full_pn__roc__regime_2653,score_mono_q_full_pn__roc__regime_2676,score_mono_q_full_pn__roc__regime_2677
nci_obs_000030,-0.06140368431806564,-0.4132271409034729,-0.05950750783085823,-0.05778505653142929,-0.6775935888290405,-0.05724486708641052,-0.05719485878944397,-0.05719485878944397,-0.05719485878944397,-0.05719485878944397,-0.07077669352293015,-0.05719485878944397,-0.05719485878944397,-0.05719485878944397,-0.05719485878944397,-1.03517484664917,-0.05719485878944397,-0.05719485878944397,-0.10059306025505066,-0.058285441249608994
nci_obs_000031,-0.3996119201183319,-0.3999519646167755,-0.39960190653800964,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.2825150489807129,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.2835455536842346,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836,-0.28249502182006836
nci_obs_000032,-0.7605419158935547,-0.7605419158935547,-0.7605419158935547,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183
nci_obs_000033,-0.1003447026014328,-0.6162808537483215,-0.13596098124980927,-0.7206152081489563,-0.7206152081489563,-0.07269762456417084,-0.07165709882974625,-0.07165709882974625,-0.07165709882974625,-0.07165709882974625,-0.13502296805381775,-0.07174710929393768,-0.07165709882974625,-0.07165709882974625,-0.07179712504148483,-0.7212353944778442,-0.07165709882974625,-0.07165709882974625,-0.3769058585166931,-0.12130961567163467
nci_obs_000034,-0.16446158289909363,-0.19372953474521637,-0.1590459644794464,-0.15480753779411316,-0.15563780069351196,-0.1554976999759674,-0.15480753779411316,-0.15480753779411316,-0.15480753779411316,-0.15480753779411316,-0.16420044004917145,-0.15481755137443542,-0.15480753779411316,-0.15480753779411316,-0.15521755814552307,-0.18730802834033966,-0.15480753779411316,-0.15480753779411316,-0.15939752757549286,-0.1551075577735901
nci_obs_000035,-0.6459798812866211,-0.6459798812866211,-0.6459798812866211,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886
nci_obs_000036,-0.5939358472824097,-0.5951166152954102,-0.5938958525657654,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.3358912169933319,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.33575117588043213,-0.3381941616535187,-0.33575117588043213,-0.33575117588043213,-0.33580121397972107,-0.33575117588043213
nci_obs_000037,-0.1755654513835907,-0.21028271317481995,-0.1737327128648758,-0.17229221761226654,-0.20458850264549255,-0.17237220704555511,-0.172272190451622,-0.172272190451622,-0.172272190451622,-0.172272190451622,-0.1772746741771698,-0.17228220403194427,-0.172272190451622,-0.172272190451622,-0.17229221761226654,-0.2528417408466339,-0.172272190451622,-0.172272190451622,-0.17621992528438568,-0.17243224382400513
nci_obs_000038,-0.1488584578037262,-0.19671668112277985,-0.14699667692184448,-0.14694666862487793,-0.14694666862487793,-0.14697664976119995,-0.14694666862487793,-0.14694666862487793,-0.14694666862487793,-0.14694666862487793,-0.15033197402954102,-0.14694666862487793,-0.14694666862487793,-0.14694666862487793,-0.14694666862487793,-0.2107536941766739,-0.14694666862487793,-0.14694666862487793,-0.14829742908477783,-0.14694666862487793
nci_obs_000039,-0.16621598601341248,-0.1941552311182022,-0.16325147449970245,-0.16261130571365356,-0.1628013551235199,-0.1628013551235199,-0.16261130571365356,-0.16261130571365356,-0.16261130571365356,-0.16261130571365356,-0.16650810837745667,-0.16261130571365356,-0.16261130571365356,-0.16261130571365356,-0.16261130571365356,-0.18891486525535583,-0.16261130571365356,-0.16261130571365356,-0.16279134154319763,-0.16261130571365356
