ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
119,,after_candidate_limit,,2379,95,4,95,15,4.5,1.33,3.67,1,15,0.9581291866028708,0.5061230766354723
120,,after_candidate_limit,,2528,101,3,101,15,6.75,1.33,2,1,8,0.9581291866028708,0.5061230766354723
121,,after_candidate_limit,,2529,101,4,101,15,6.75,1.33,2,1,15,0.9581291866028708,0.5061230766354723
122,,after_candidate_limit,,2553,102,3,102,15,6.75,1.33,3.67,1,8,0.9581291866028708,0.5061230766354723
123,,after_candidate_limit,,2554,102,4,102,15,6.75,1.33,3.67,1,15,0.9581291866028708,0.5061230766354723
124,,after_candidate_limit,,2704,108,4,108,15,9,1.33,2,1,15,0.9581291866028708,0.5061230766354723
125,,after_candidate_limit,,2577,103,2,103,15,6.75,2.17,3.25,1,3,0.9581081339712919,0.5186786330642442
126,,after_candidate_limit,,1426,57,1,57,13.89,12.5,0.5,1.38,1,2,0.9580612440191387,0.5326887430649464
127,,after_candidate_limit,,2254,90,4,90,15,13.5,3,4.5,1,15,0.958044019138756,0.5208512531719979
128,,after_candidate_limit,,2703,108,3,108,15,9,1.33,2,1,8,0.9580244019138756,0.5049210579996021
129,,after_candidate_limit,,2728,109,3,109,15,9,1.33,3.67,1,8,0.9580244019138756,0.5049210579996021
130,,after_candidate_limit,,1401,56,1,56,13.89,12.5,0.5,0.75,1,2,0.958,0.5344556588154651
131,,after_candidate_limit,,1626,65,1,65,13.89,4.17,0.5,2,1,2,0.9579942583732057,0.5084764353119123
132,,after_candidate_limit,,1601,64,1,64,13.89,4.17,0.5,1.38,1,2,0.9579679425837321,0.5081389918850365
133,,after_candidate_limit,,1576,63,1,63,13.89,4.17,0.5,0.75,1,2,0.9579435406698564,0.5082873491894442
134,,after_candidate_limit,,2426,97,1,97,15,4.5,3,4.5,1,2,0.9578818181818182,0.5197210216503643
135,,after_candidate_limit,,1752,70,2,70,13.89,6.25,0.5,0.75,1,3,0.9578435406698564,0.5069614933857479
136,,after_candidate_limit,,1802,72,2,72,13.89,6.25,0.5,2,1,3,0.9578373205741627,0.5068411697093529
137,,after_candidate_limit,,1777,71,2,71,13.89,6.25,0.5,1.38,1,3,0.9578258373205741,0.5068956198311411
138,,after_candidate_limit,,2152,86,2,86,15,13.5,0.5,2,1,3,0.9578172248803828,0.5404849385928926
139,,after_candidate_limit,,1451,58,1,58,13.89,12.5,0.5,2,1,2,0.9578066985645933,0.5304419267667093
140,,after_candidate_limit,,2602,104,2,104,15,6.75,3,4.5,1,3,0.9578047846889952,0.5183397139694019
141,,after_candidate_limit,,2402,96,2,96,15,4.5,2.17,3.25,1,3,0.9577799043062201,0.5139496811878383
142,,after_candidate_limit,,1454,58,4,58,13.89,12.5,0.5,2,1,15,0.9577416267942583,0.502171551861921
143,,after_candidate_limit,,2253,90,3,90,15,13.5,3,4.5,1,8,0.9577416267942583,0.519169194341518
144,,after_candidate_limit,,1404,56,4,56,13.89,12.5,0.5,0.75,1,15,0.957723923444976,0.50225692234515
145,,after_candidate_limit,,1429,57,4,57,13.89,12.5,0.5,1.38,1,15,0.9577124401913876,0.5020178476328911
146,,after_candidate_limit,,1577,63,2,63,13.89,4.17,0.5,0.75,1,3,0.9576263157894737,0.5026539851650579
147,,after_candidate_limit,,1627,65,2,65,13.89,4.17,0.5,2,1,3,0.9576105263157895,0.5026483536905881
148,,after_candidate_limit,,1602,64,2,64,13.89,4.17,0.5,1.38,1,3,0.9576057416267942,0.5025041753899555
149,,after_candidate_limit,,2403,96,3,96,15,4.5,2.17,3.25,1,8,0.957600956937799,0.5057497448153911
150,,after_candidate_limit,,2404,96,4,96,15,4.5,2.17,3.25,1,15,0.957600956937799,0.5057497448153911
151,,after_candidate_limit,,2578,103,3,103,15,6.75,2.17,3.25,1,8,0.957600956937799,0.5057497448153911
152,,after_candidate_limit,,2579,103,4,103,15,6.75,2.17,3.25,1,15,0.957600956937799,0.5057497448153911
153,,after_candidate_limit,,2754,110,4,110,15,9,2.17,3.25,1,15,0.957600956937799,0.5057497448153911
154,,after_candidate_limit,,2753,110,3,110,15,9,2.17,3.25,1,8,0.9575076555023924,0.5046532263393531
155,,after_candidate_limit,,1953,78,3,78,13.89,8.33,0.5,1.38,1,8,0.9574961722488038,0.49654511818191843
156,,after_candidate_limit,,1978,79,3,79,13.89,8.33,0.5,2,1,8,0.9574961722488038,0.49654511818191843
157,,after_candidate_limit,,1578,63,3,63,13.89,4.17,0.5,0.75,1,8,0.9574923444976077,0.4957411617359726
158,,after_candidate_limit,,1579,63,4,63,13.89,4.17,0.5,0.75,1,15,0.9574923444976077,0.4957411617359726
159,,after_candidate_limit,,1603,64,3,64,13.89,4.17,0.5,1.38,1,8,0.9574923444976077,0.4957411617359726
160,,after_candidate_limit,,1604,64,4,64,13.89,4.17,0.5,1.38,1,15,0.9574923444976077,0.4957411617359726
161,,after_candidate_limit,,1628,65,3,65,13.89,4.17,0.5,2,1,8,0.9574923444976077,0.4957411617359726
162,,after_candidate_limit,,1629,65,4,65,13.89,4.17,0.5,2,1,15,0.9574923444976077,0.4957411617359726
163,,after_candidate_limit,,1753,70,3,70,13.89,6.25,0.5,0.75,1,8,0.9574923444976077,0.4957411617359726
164,,after_candidate_limit,,1754,70,4,70,13.89,6.25,0.5,0.75,1,15,0.9574923444976077,0.4957411617359726
165,,after_candidate_limit,,1778,71,3,71,13.89,6.25,0.5,1.38,1,8,0.9574923444976077,0.4957411617359726
166,,after_candidate_limit,,1779,71,4,71,13.89,6.25,0.5,1.38,1,15,0.9574923444976077,0.4957411617359726
167,,after_candidate_limit,,1803,72,3,72,13.89,6.25,0.5,2,1,8,0.9574923444976077,0.4957411617359726
168,,after_candidate_limit,,1804,72,4,72,13.89,6.25,0.5,2,1,15,0.9574923444976077,0.4957411617359726
169,,after_candidate_limit,,1929,77,4,77,13.89,8.33,0.5,0.75,1,15,0.9574923444976077,0.4957411617359726
170,,after_candidate_limit,,1954,78,4,78,13.89,8.33,0.5,1.38,1,15,0.9574923444976077,0.4957411617359726
171,,after_candidate_limit,,1979,79,4,79,13.89,8.33,0.5,2,1,15,0.9574923444976077,0.4957411617359726
172,,after_candidate_limit,,1928,77,3,77,13.89,8.33,0.5,0.75,1,8,0.9574885167464114,0.4960051125893515
173,,after_candidate_limit,,2427,97,2,97,15,4.5,3,4.5,1,3,0.9574736842105264,0.5138614541100441
174,,after_candidate_limit,,2428,97,3,97,15,4.5,3,4.5,1,8,0.9572918660287081,0.5055799250744947
175,,after_candidate_limit,,2429,97,4,97,15,4.5,3,4.5,1,15,0.9572918660287081,0.5055799250744947
176,,after_candidate_limit,,2603,104,3,104,15,6.75,3,4.5,1,8,0.9572918660287081,0.5055799250744947
177,,after_candidate_limit,,2604,104,4,104,15,6.75,3,4.5,1,15,0.9572918660287081,0.5055799250744947
178,,after_candidate_limit,,2779,111,4,111,15,9,3,4.5,1,15,0.9572918660287081,0.5055799250744947
179,,after_candidate_limit,,2778,111,3,111,15,9,3,4.5,1,8,0.9572043062200957,0.5047428375202615
180,,after_candidate_limit,,1400,56,0,56,13.89,12.5,0.5,0.75,1,1,0.9571425837320574,0.5520759327430431
181,,after_candidate_limit,,2101,84,1,84,15,13.5,0.5,0.75,1,2,0.9568334928229665,0.560426737699055
