grid_index,c,kappa
290,-11.9,0.04263326233067686
291,-11.9,0.0468638957052671
292,-11.9,0.051514348201635404
293,-11.9,0.05662627979818328
294,-11.9,0.0622454845246464
295,-11.9,0.06842230069707485
296,-11.9,0.07521206186172792
297,-11.9,0.08267559248755606
298,-11.9,0.0908797528478154
299,-11.9,0.09989803797200668
300,-11.9,0.10981123603370764
301,-11.9,0.1207081520723127
302,-11.9,0.13268640353196676
303,-11.9,0.14585329474434222
304,-11.9,0.1603267781891069
305,-11.9,0.17623651114330563
306,-11.9,0.1937250171853996
307,-11.9,0.21294896295902363
308,-11.9,0.2340805616340463
309,-11.9,0.257309115637507
310,-11.9,0.28284271247461923
311,-11.9,0.31091008883145355
312,-11.9,0.3417626796584219
313,-11.9,0.37567687059079036
314,-11.9,0.41295647388400064
315,-11.9,0.45393545004388197
316,-11.9,0.49898089953282365
317,-11.9,0.5484963513524144
318,-11.9,0.6029253779625317
319,-11.9,0.6627555689202699
320,-11.9,0.7285228988356287
321,-11.9,0.8008165287732435
322,-11.9,0.8802840841123949
323,-11.9,0.9676374561457335
324,-11.9,1.0636591793889987
325,-11.9,1.1692094417313288
326,-11.9,1.2852337902249547
327,-11.9,1.4127716015447394
328,-11.9,1.5529653929982221
329,-11.9,1.7070710574965884
330,-11.9,1.8764691141741663
331,-11.9,2.062677075442493
332,-11.9,2.2673630412661816
333,-11.9,2.4923606424417977
334,-11.9,2.739685466745529
335,-11.9,3.0115531150993715
336,-11.9,3.310399049507793
337,-11.9,3.638900410567892
338,-11.9,4.000000000000001
339,-11.85,0.00010000000000000009
340,-11.85,0.00010992331607601645
341,-11.85,0.00012083135417147784
342,-11.85,0.00013282183136484435
343,-11.85,0.0001460021615091313
344,-11.85,0.00016049041747349827
345,-11.85,0.00017641638887111135
346,-11.85,0.0001939227447486859
347,-11.85,0.00021316631165338437
348,-11.85,0.00023431947852633578
349,-11.85,0.00025757174100817686
350,-11.85,0.00028313139899091653
351,-11.85,0.0003112274226232321
352,-11.85,0.00034211150348537436
353,-11.85,0.00037606030930863974
354,-11.85,0.00041337796243778044
355,-11.85,0.0004543987642390775
356,-11.85,0.0004994901898600331
357,-11.85,0.0005490561801685379
358,-11.85,0.0006035407603615637
359,-11.85,0.000663432017659834
360,-11.85,0.0007292664737217114
361,-11.85,0.0008016338909455349
362,-11.85,0.0008811825557165285
363,-11.85,0.0009686250859269985
364,-11.85,0.0010647448147951186
365,-11.85,0.001170402808170232
366,-11.85,0.0012865455781875354
367,-11.85,0.0014142135623730968
368,-11.85,0.0015545504441572683
369,-11.85,0.0017088133982921087
370,-11.85,0.0018783843529539507
371,-11.85,0.0020647823694200057
372,-11.85,0.0022696772502194106
373,-11.85,0.002494904497664117
374,-11.85,0.0027424817567620755
375,-11.85,0.003014626889812659
376,-11.85,0.0033137778446013506
377,-11.85,0.0036426144941781413
378,-11.85,0.0040040826438662224
379,-11.85,0.00440142042056198
380,-11.85,0.004838187280728665
381,-11.85,0.005318295896944991
382,-11.85,0.005846047208656651
383,-11.85,0.006426168951124776
384,-11.85,0.007063858007723712
385,-11.85,0.007764826964991121
386,-11.85,0.008535355287482936
387,-11.85,0.009382345570870835
388,-11.85,0.01031338537721247
389,-11.85,0.011336815206330902
390,-11.85,0.012461803212208992
391,-11.85,0.013698427333727649
392,-11.85,0.015057765575496863
393,-11.85,0.016551995247538986
394,-11.85,0.018194502052839467
395,-11.85,0.02000000000000001
396,-11.85,0.021984663215203284
397,-11.85,0.02416627083429558
398,-11.85,0.026564366272968886
399,-11.85,0.029200432301826246
400,-11.85,0.032098083494699614
401,-11.85,0.03528327777422226
402,-11.85,0.038784548949737194
403,-11.85,0.04263326233067686
404,-11.85,0.0468638957052671
405,-11.85,0.051514348201635404
406,-11.85,0.05662627979818328
407,-11.85,0.0622454845246464
408,-11.85,0.06842230069707485
409,-11.85,0.07521206186172792
410,-11.85,0.08267559248755606
411,-11.85,0.0908797528478154
412,-11.85,0.09989803797200668
413,-11.85,0.10981123603370764
414,-11.85,0.1207081520723127
415,-11.85,0.13268640353196676
416,-11.85,0.14585329474434222
417,-11.85,0.1603267781891069
418,-11.85,0.17623651114330563
419,-11.85,0.1937250171853996
420,-11.85,0.21294896295902363
421,-11.85,0.2340805616340463
422,-11.85,0.257309115637507
423,-11.85,0.28284271247461923
424,-11.85,0.31091008883145355
425,-11.85,0.3417626796584219
426,-11.85,0.37567687059079036
427,-11.85,0.41295647388400064
428,-11.85,0.45393545004388197
429,-11.85,0.49898089953282365
430,-11.85,0.5484963513524144
431,-11.85,0.6029253779625317
432,-11.85,0.6627555689202699
433,-11.85,0.7285228988356287
434,-11.85,0.8008165287732435
435,-11.85,0.8802840841123949
436,-11.85,0.9676374561457335
437,-11.85,1.0636591793889987
438,-11.85,1.1692094417313288
439,-11.85,1.2852337902249547
440,-11.85,1.4127716015447394
441,-11.85,1.5529653929982221
442,-11.85,1.7070710574965884
443,-11.85,1.8764691141741663
444,-11.85,2.062677075442493
445,-11.85,2.2673630412661816
446,-11.85,2.4923606424417977
447,-11.85,2.739685466745529
448,-11.85,3.0115531150993715
449,-11.85,3.310399049507793
450,-11.85,3.638900410567892
451,-11.85,4.000000000000001
452,-11.8,0.00010000000000000009
453,-11.8,0.00010992331607601645
454,-11.8,0.00012083135417147784
455,-11.8,0.00013282183136484435
456,-11.8,0.0001460021615091313
457,-11.8,0.00016049041747349827
458,-11.8,0.00017641638887111135
459,-11.8,0.0001939227447486859
460,-11.8,0.00021316631165338437
461,-11.8,0.00023431947852633578
462,-11.8,0.00025757174100817686
463,-11.8,0.00028313139899091653
464,-11.8,0.0003112274226232321
465,-11.8,0.00034211150348537436
466,-11.8,0.00037606030930863974
467,-11.8,0.00041337796243778044
468,-11.8,0.0004543987642390775
469,-11.8,0.0004994901898600331
470,-11.8,0.0005490561801685379
471,-11.8,0.0006035407603615637
472,-11.8,0.000663432017659834
473,-11.8,0.0007292664737217114
474,-11.8,0.0008016338909455349
475,-11.8,0.0008811825557165285
476,-11.8,0.0009686250859269985
477,-11.8,0.0010647448147951186
478,-11.8,0.001170402808170232
479,-11.8,0.0012865455781875354
480,-11.8,0.0014142135623730968
481,-11.8,0.0015545504441572683
482,-11.8,0.0017088133982921087
483,-11.8,0.0018783843529539507
484,-11.8,0.0020647823694200057
485,-11.8,0.0022696772502194106
486,-11.8,0.002494904497664117
487,-11.8,0.0027424817567620755
488,-11.8,0.003014626889812659
489,-11.8,0.0033137778446013506
490,-11.8,0.0036426144941781413
491,-11.8,0.0040040826438662224
492,-11.8,0.00440142042056198
493,-11.8,0.004838187280728665
494,-11.8,0.005318295896944991
495,-11.8,0.005846047208656651
496,-11.8,0.006426168951124776
497,-11.8,0.007063858007723712
498,-11.8,0.007764826964991121
499,-11.8,0.008535355287482936
500,-11.8,0.009382345570870835
501,-11.8,0.01031338537721247
502,-11.8,0.011336815206330902
503,-11.8,0.012461803212208992
504,-11.8,0.013698427333727649
505,-11.8,0.015057765575496863
506,-11.8,0.016551995247538986
507,-11.8,0.018194502052839467
508,-11.8,0.02000000000000001
509,-11.8,0.021984663215203284
510,-11.8,0.02416627083429558
511,-11.8,0.026564366272968886
512,-11.8,0.029200432301826246
513,-11.8,0.032098083494699614
514,-11.8,0.03528327777422226
515,-11.8,0.038784548949737194
516,-11.8,0.04263326233067686
517,-11.8,0.0468638957052671
518,-11.8,0.051514348201635404
519,-11.8,0.05662627979818328
520,-11.8,0.0622454845246464
521,-11.8,0.06842230069707485
522,-11.8,0.07521206186172792
523,-11.8,0.08267559248755606
524,-11.8,0.0908797528478154
525,-11.8,0.09989803797200668
526,-11.8,0.10981123603370764
527,-11.8,0.1207081520723127
528,-11.8,0.13268640353196676
529,-11.8,0.14585329474434222
530,-11.8,0.1603267781891069
531,-11.8,0.17623651114330563
532,-11.8,0.1937250171853996
533,-11.8,0.21294896295902363
534,-11.8,0.2340805616340463
535,-11.8,0.257309115637507
536,-11.8,0.28284271247461923
537,-11.8,0.31091008883145355
538,-11.8,0.3417626796584219
539,-11.8,0.37567687059079036
540,-11.8,0.41295647388400064
541,-11.8,0.45393545004388197
542,-11.8,0.49898089953282365
543,-11.8,0.5484963513524144
544,-11.8,0.6029253779625317
545,-11.8,0.6627555689202699
546,-11.8,0.7285228988356287
547,-11.8,0.8008165287732435
548,-11.8,0.8802840841123949
549,-11.8,0.9676374561457335
550,-11.8,1.0636591793889987
551,-11.8,1.1692094417313288
552,-11.8,1.2852337902249547
553,-11.8,1.4127716015447394
554,-11.8,1.5529653929982221
555,-11.8,1.7070710574965884
556,-11.8,1.8764691141741663
557,-11.8,2.062677075442493
558,-11.8,2.2673630412661816
559,-11.8,2.4923606424417977
560,-11.8,2.739685466745529
561,-11.8,3.0115531150993715
562,-11.8,3.310399049507793
563,-11.8,3.638900410567892
564,-11.8,4.000000000000001
565,-11.75,0.00010000000000000009
566,-11.75,0.00010992331607601645
567,-11.75,0.00012083135417147784
568,-11.75,0.00013282183136484435
569,-11.75,0.0001460021615091313
570,-11.75,0.00016049041747349827
571,-11.75,0.00017641638887111135
572,-11.75,0.0001939227447486859
573,-11.75,0.00021316631165338437
574,-11.75,0.00023431947852633578
575,-11.75,0.00025757174100817686
576,-11.75,0.00028313139899091653
577,-11.75,0.0003112274226232321
578,-11.75,0.00034211150348537436
579,-11.75,0.00037606030930863974
580,-11.75,0.00041337796243778044
581,-11.75,0.0004543987642390775
582,-11.75,0.0004994901898600331
583,-11.75,0.0005490561801685379
