endpoint_id,score_full_q_mono_pn__roc__regime_1750,score_full_q_mono_pn__roc__regime_1925,score_full_q_mono_pn__roc__regime_1926,score_full_q_mono_pn__roc__regime_2128,score_full_q_mono_pn__roc__regime_2152,score_full_q_mono_pn__roc__regime_2154,score_full_q_mono_pn__roc__regime_2275,score_full_q_mono_pn__roc__regime_2278,score_full_q_mono_pn__roc__regime_2279,score_full_q_mono_pn__roc__regime_2326,score_full_q_mono_pn__roc__regime_2327,score_full_q_mono_pn__roc__regime_2451,score_full_q_mono_pn__roc__regime_2452,score_full_q_mono_pn__roc__regime_2500,score_full_q_mono_pn__roc__regime_2503,score_full_q_mono_pn__roc__regime_2625,score_full_q_mono_pn__roc__regime_2626,score_full_q_mono_pn__roc__regime_2627,score_full_q_mono_pn__roc__regime_2628,score_full_q_mono_pn__roc__regime_2629
nci_obs_000020,-0.7910535931587219,-0.8874152302742004,-0.7919893264770508,-1.2175756692886353,-1.217875599861145,-0.8559140563011169,-0.7857779264450073,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7855378985404968,-0.7854378819465637,-0.7876303195953369,-0.7854378819465637,-1.0262110233306885,-0.8175272941589355,-0.7882317900657654,-0.7854378819465637,-0.7854378819465637
nci_obs_000021,-0.32535266876220703,-0.3600043058395386,-0.3238508403301239,-0.323520690202713,-1.2397764921188354,-0.3233506679534912,-0.32351067662239075,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3233606815338135,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.4111332595348358,-0.3260643482208252,-0.3233906924724579,-0.3233506679534912,-0.3233506679534912
nci_obs_000022,-0.8702191710472107,-0.8707292675971985,-0.8702191710472107,-0.8701192140579224,-0.8996598720550537,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778,-0.8711397051811218,-0.8701192140579224,-0.8700991868972778,-0.8700991868972778,-0.8700991868972778
nci_obs_000023,-1.063889741897583,-1.1048389673233032,-1.0627989768981934,-1.0625989437103271,-1.3587064743041992,-1.0625889301300049,-1.0626089572906494,-1.0625889301300049,-1.0625889301300049,-1.0625889301300049,-1.0625889301300049,-1.0625889301300049,-1.0625889301300049,-1.0627390146255493,-1.0625889301300049,-1.14569890499115,-1.0635493993759155,-1.0625989437103271,-1.0625889301300049,-1.0625889301300049
nci_obs_000024,-1.2795947790145874,-1.2804651260375977,-1.2796047925949097,-1.2803349494934082,-1.3832355737686157,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874,-1.2816863059997559,-1.2796447277069092,-1.2795947790145874,-1.2795947790145874,-1.2795947790145874
nci_obs_000025,-1.1249823570251465,-1.3046276569366455,-1.107163667678833,-1.0953298807144165,-1.4166589975357056,-1.0947597026824951,-1.0963003635406494,-1.0947597026824951,-1.0947597026824951,-1.0947597026824951,-1.0947597026824951,-1.095900058746338,-1.0947697162628174,-1.203050971031189,-1.0947597026824951,-1.3852344751358032,-1.1133719682693481,-1.0956398248672485,-1.0947597026824951,-1.0947597026824951
nci_obs_000026,-0.4555637240409851,-0.5550171732902527,-0.4571896195411682,-0.8488287329673767,-0.8492988348007202,-0.47312629222869873,-0.4527796804904938,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527796804904938,-0.4527296721935272,-0.45350995659828186,-0.4527296721935272,-0.6959356069564819,-0.475312739610672,-0.45397046208381653,-0.4527296721935272,-0.4527296721935272
nci_obs_000027,-0.7210831046104431,-0.7779313325881958,-0.724491536617279,-1.0657228231430054,-1.066362977027893,-1.0657228231430054,-0.720322847366333,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203428149223328,-0.7203128337860107,-0.720352828502655,-0.7203128337860107,-0.898626446723938,-0.7454562783241272,-0.7226856350898743,-0.7203128337860107,-0.7203128337860107
nci_obs_000028,-1.1165872812271118,-1.1168172359466553,-1.1165772676467896,-0.8591035604476929,-0.8595436215400696,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8596737384796143,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929,-0.8591035604476929
nci_obs_000029,-0.5995776057243347,-0.8815299272537231,-0.6510444283485413,-1.1099814176559448,-1.1114124059677124,-1.1099814176559448,-0.5820845365524292,-0.5791401863098145,-0.5791401863098145,-0.5791401863098145,-0.5791401863098145,-0.5817335247993469,-0.579250156879425,-0.5925902724266052,-0.5791401863098145,-1.110471487045288,-0.8308504223823547,-0.6525284051895142,-0.5791501998901367,-0.5791401863098145
nci_obs_000030,-0.8686609268188477,-1.0958812236785889,-1.0934782028198242,-0.9639828205108643,-0.9820755124092102,-0.9639828205108643,-0.8066630959510803,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-0.8250752687454224,-0.806793212890625,-0.8068032264709473,-0.8059127926826477,-0.9715715646743774,-0.9641328454017639,-0.9639828205108643,-0.8059628009796143,-0.8059127926826477
nci_obs_000031,-1.0069721937179565,-1.0107682943344116,-1.006912112236023,-1.0068721771240234,-1.0428674221038818,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234,-1.01054847240448,-1.0069321393966675,-1.0068721771240234,-1.0068721771240234,-1.0068721771240234
nci_obs_000032,-2.977992534637451,-2.977992534637451,-2.977992534637451,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668,-2.148249626159668
