view_id,parent_cohort,model,branch,l2_variant,metric,view_value,parent_value,delta_from_parent,n_endpoints,n_positive,n_completed_zero_candidates,n_missing_computations,mapping_sha256
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,median,average_precision,0.31826954612216496,0.18485523999378656,0.1334143061283784,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_frac_mean_frac0p01,average_precision,0.3614460052957694,0.17405109964865517,0.18739490564711425,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_frac_mean_frac0p02,average_precision,0.3614460052957694,0.19157071481782953,0.1698752904779399,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_frac_mean_frac0p05,average_precision,0.37798448918110983,0.16138118413383562,0.2166033050472742,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_k_logsumexp_k10,average_precision,0.32732365248185563,0.15526672510135756,0.17205692738049808,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_k_logsumexp_k2,average_precision,0.374481792816333,0.1581787182058781,0.2163030746104549,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_k_mean_k2,average_precision,0.37633771493721857,0.15788658960276192,0.21845112533445665,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,top_k_mean_k3,average_precision,0.3410485325334251,0.17280900860161447,0.16823952393181063,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,endpoint_local_epitope_second_hla_hybrid_v1,roc_auc,0.5840853158326497,0.6690821256038647,-0.08499680977121504,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,logmeanexp,roc_auc,0.4831829368334701,0.6796223100570926,-0.19643937322362254,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,logsumexp,roc_auc,0.5586546349466776,0.6778656126482213,-0.11921097770154376,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,max,roc_auc,0.5775225594749795,0.6690821256038647,-0.09155956612888516,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,mean,roc_auc,0.5406070549630845,0.7083882301273605,-0.16778117516427604,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,median,roc_auc,0.5086136177194421,0.7261747913921827,-0.21756117367274053,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,top_frac_mean_frac0p01,roc_auc,0.5775225594749795,0.665788317962231,-0.08826575848725149,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,roc,top_frac_mean_frac0p02,roc_auc,0.5775225594749795,0.6651295564339043,-0.08760699695892471,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
