endpoint_id,score_mono_q_full_pn__pr__regime_1225,score_mono_q_full_pn__pr__regime_1400,score_mono_q_full_pn__pr__regime_1401,score_mono_q_full_pn__pr__regime_1575,score_mono_q_full_pn__pr__regime_1750,score_mono_q_full_pn__pr__regime_1925,score_mono_q_full_pn__pr__regime_1930,score_mono_q_full_pn__pr__regime_1951,score_mono_q_full_pn__pr__regime_2100,score_mono_q_full_pn__pr__regime_2101,score_mono_q_full_pn__pr__regime_2102,score_mono_q_full_pn__pr__regime_2128,score_mono_q_full_pn__pr__regime_2275,score_mono_q_full_pn__pr__regime_2450,score_mono_q_full_pn__pr__regime_2451,score_mono_q_full_pn__pr__regime_2455,score_mono_q_full_pn__pr__regime_2625,score_mono_q_full_pn__pr__regime_2630,score_mono_q_full_pn__pr__regime_2676,score_mono_q_full_pn__pr__regime_2677
nci_obs_000025,-0.46946412324905396,-0.7317938804626465,-0.5447269082069397,-0.3971640169620514,-0.4088880121707916,-0.4550878703594208,-0.4957089126110077,-0.40348753333091736,-0.9410709738731384,-0.5860278010368347,-0.4615527093410492,-0.3973841667175293,-0.39707401394844055,-0.40871062874794006,-0.39693403244018555,-0.41284114122390747,-0.43731632828712463,-0.47245848178863525,-0.40213653445243835,-0.39693403244018555
nci_obs_000026,-0.1102452501654625,-1.4376261234283447,-0.679021418094635,-0.10616081953048706,-0.10636081546545029,-0.11290351301431656,-0.11380388587713242,-0.10617083311080933,-1.5288636684417725,-1.5250056982040405,-1.3329588174819946,-0.11279274523258209,-0.10616081953048706,-0.10668095201253891,-0.10616081953048706,-0.10668095201253891,-0.12238164991140366,-0.12238164991140366,-0.10621083527803421,-0.10616081953048706
nci_obs_000027,-0.1392073780298233,-1.537835955619812,-1.5345803499221802,-0.1350296437740326,-0.13521967828273773,-0.1476489156484604,-0.1476489156484604,-0.1352596879005432,-1.0690666437149048,-1.0579789876937866,-1.0574088096618652,-0.6245178580284119,-0.1350296437740326,-0.135629802942276,-0.13503965735435486,-0.135629802942276,-0.17145507037639618,-0.17145507037639618,-0.13677114248275757,-0.1350896656513214
nci_obs_000028,-1.315384864807129,-0.7683866620063782,-0.7599784135818481,-0.75961834192276,-0.75961834192276,-0.7596883177757263,-1.8347541093826294,-0.75961834192276,-0.4135243594646454,-0.378719687461853,-0.3755439519882202,-0.37532392144203186,-0.37532392144203186,-0.3753339350223541,-0.37532392144203186,-0.8771388530731201,-0.37546393275260925,-0.8772688508033752,-0.37532392144203186,-0.37532392144203186
nci_obs_000029,-0.19450122117996216,-2.193310260772705,-1.369449257850647,-0.17796899378299713,-0.17924988269805908,-0.20262213051319122,-0.2058384269475937,-0.178319051861763,-1.7935521602630615,-1.7883175611495972,-1.788137435913086,-0.29311689734458923,-0.1777389645576477,-0.1801021844148636,-0.17758892476558685,-0.18015220761299133,-0.24203410744667053,-0.24208411574363708,-0.18053336441516876,-0.17769896984100342
nci_obs_000030,-0.15602120757102966,-1.3452260494232178,-1.330335259437561,-0.0572148859500885,-0.06140368431806564,-0.4132271409034729,-0.4132271409034729,-0.06379659473896027,-1.0821582078933716,-1.057948112487793,-1.0563666820526123,-0.6775935888290405,-0.05724486708641052,-0.07077669352293015,-0.057534899562597275,-0.07077669352293015,-1.03517484664917,-1.03517484664917,-0.10059306025505066,-0.058285441249608994
nci_obs_000031,-0.678183913230896,-0.5139247179031372,-0.416697233915329,-0.39960190653800964,-0.3996119201183319,-0.3999519646167755,-0.7755550742149353,-0.39960190653800964,-0.49485108256340027,-0.35327601432800293,-0.2978523373603821,-0.28249502182006836,-0.28249502182006836,-0.2825150489807129,-0.28249502182006836,-0.3676717281341553,-0.2835455536842346,-0.3687022626399994,-0.28249502182006836,-0.28249502182006836
nci_obs_000032,-1.488267183303833,-0.7613922953605652,-0.760551929473877,-0.7605419158935547,-0.7605419158935547,-0.7605419158935547,-2.4966917037963867,-0.7605419158935547,-0.2668306529521942,-0.2585151493549347,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-0.25839516520500183,-1.2096915245056152,-0.25839516520500183,-1.2096915245056152,-0.25839516520500183,-0.25839516520500183
nci_obs_000033,-0.3053940534591675,-1.0469061136245728,-1.0276576280593872,-0.07216721028089523,-0.1003447026014328,-0.6162808537483215,-0.6162808537483215,-0.14335723221302032,-0.7704989314079285,-0.7257986068725586,-0.7210152745246887,-0.7206152081489563,-0.07269762456417084,-0.13502296805381775,-0.07512308657169342,-0.13502296805381775,-0.7212353944778442,-1.236633539199829,-0.3769058585166931,-0.12130961567163467
nci_obs_000034,-0.197787806391716,-0.5792330503463745,-0.31185343861579895,-0.1555277407169342,-0.16446158289909363,-0.19372953474521637,-0.21747727692127228,-0.1590459644794464,-0.9018523693084717,-0.4275781214237213,-0.24466492235660553,-0.15563780069351196,-0.1554976999759674,-0.16420044004917145,-0.1551775485277176,-0.16575182974338531,-0.18730802834033966,-0.21650555729866028,-0.15939752757549286,-0.1551075577735901
nci_obs_000035,-1.2035181522369385,-0.655222475528717,-0.6462799310684204,-0.6459798812866211,-0.6459798812866211,-0.6459798812866211,-1.569695234298706,-0.6459798812866211,-0.35624128580093384,-0.31064972281455994,-0.3064698874950409,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.306199848651886,-0.6733098030090332,-0.306199848651886,-0.6733098030090332,-0.306199848651886,-0.306199848651886
nci_obs_000036,-0.9783015847206116,-0.6377963423728943,-0.5977533459663391,-0.5938758254051208,-0.5939358472824097,-0.5951166152954102,-1.3911327123641968,-0.5938858389854431,-0.45337551832199097,-0.35409849882125854,-0.33789345622062683,-0.33575117588043213,-0.33575117588043213,-0.3358912169933319,-0.33575117588043213,-0.6919882297515869,-0.3381941616535187,-0.6942911744117737,-0.33580121397972107,-0.33575117588043213
nci_obs_000037,-0.20156972110271454,-1.8090571165084839,-1.014935851097107,-0.17242223024368286,-0.1755654513835907,-0.21028271317481995,-0.21708188951015472,-0.1741030067205429,-1.8429145812988281,-1.8392373323440552,-1.3012094497680664,-0.20458850264549255,-0.17237220704555511,-0.1772746741771698,-0.17236219346523285,-0.17745469510555267,-0.2528417408466339,-0.253021776676178,-0.17621992528438568,-0.17243224382400513
