endpoint_id,score_old_monoallelic__pr__regime_1050,score_old_monoallelic__pr__regime_1225,score_old_monoallelic__pr__regime_1230,score_old_monoallelic__pr__regime_1575,score_old_monoallelic__pr__regime_1750,score_old_monoallelic__pr__regime_1755,score_old_monoallelic__pr__regime_1925,score_old_monoallelic__pr__regime_1926,score_old_monoallelic__pr__regime_1930,score_old_monoallelic__pr__regime_2275,score_old_monoallelic__pr__regime_2280,score_old_monoallelic__pr__regime_2450,score_old_monoallelic__pr__regime_2455,score_old_monoallelic__pr__regime_2460,score_old_monoallelic__pr__regime_2625,score_old_monoallelic__pr__regime_2626,score_old_monoallelic__pr__regime_2630,score_old_monoallelic__pr__regime_2631,score_old_monoallelic__pr__regime_2635,score_old_monoallelic__pr__regime_525
nci_obs_000034,-0.31182894110679626,-0.3214928209781647,-0.74954754114151,-0.19487364590168,-0.1988430917263031,-0.35777217149734497,-0.21477851271629333,-0.19514380395412445,-0.3737075626850128,-0.15967661142349243,-0.18878643214702606,-0.16544708609580994,-0.19455690681934357,-0.28661873936653137,-0.1924944370985031,-0.1607578992843628,-0.2217143177986145,-0.18986772000789642,-0.3137761354446411,-0.5207706689834595
nci_obs_000035,-0.3467441499233246,-0.3467441499233246,-0.8077194094657898,-0.18909913301467896,-0.18909913301467896,-0.2625054121017456,-0.18910914659500122,-0.18909913301467896,-0.26251542568206787,-0.17424868047237396,-0.17491894960403442,-0.17424868047237396,-0.17491894960403442,-0.17903031408786774,-0.17428867518901825,-0.17424868047237396,-0.1749589443206787,-0.17491894960403442,-0.17907030880451202,-0.784899890422821
nci_obs_000036,-0.5132741928100586,-0.5132942199707031,-1.3132190704345703,-0.28556665778160095,-0.28556665778160095,-0.5693433284759521,-0.2856466472148895,-0.28556665778160095,-0.5694233179092407,-0.21302731335163116,-0.24827483296394348,-0.21302731335163116,-0.24827483296394348,-0.36006051301956177,-0.21331733465194702,-0.21302731335163116,-0.24856485426425934,-0.24827483296394348,-0.3603505492210388,-0.8983336687088013
nci_obs_000037,-0.2057255357503891,-0.6278996467590332,-0.6278996467590332,-0.17370319366455078,-0.24637094140052795,-0.24637094140052795,-0.8257869482040405,-0.4616890549659729,-1.093374490737915,-0.17523661255836487,-0.17523661255836487,-0.322060763835907,-0.322060763835907,-0.322060763835907,-0.5500016808509827,-0.5487909317016602,-1.3118752241134644,-0.961864173412323,-1.9721444845199585,-0.37907493114471436
nci_obs_000038,-0.14897873997688293,-0.24652397632598877,-0.24652397632598877,-0.14698666334152222,-0.1533370465040207,-0.1533370465040207,-0.4223576784133911,-0.157148540019989,-0.4223576784133911,-0.14703667163848877,-0.14703667163848877,-0.16531430184841156,-0.16531430184841156,-0.16531430184841156,-0.8308169841766357,-0.19108664989471436,-0.8308169841766357,-0.19108664989471436,-0.8308169841766357,-0.177003875374794
nci_obs_000039,-0.16472357511520386,-0.20095761120319366,-0.2347729355096817,-0.16269131004810333,-0.1675635725259781,-0.16900460422039032,-0.24274900555610657,-0.16360178589820862,-0.2441900223493576,-0.16279134154319763,-0.16279134154319763,-0.17343980073928833,-0.17343980073928833,-0.17349982261657715,-0.3127499520778656,-0.1667097508907318,-0.3127499520778656,-0.1667097508907318,-0.3128100037574768,-0.1782226860523224
nci_obs_000040,-0.14547522366046906,-0.1466459035873413,-0.15826229751110077,-0.1454652100801468,-0.14551521837711334,-0.1457051932811737,-0.14961382746696472,-0.14547522366046906,-0.15947173535823822,-0.1454652100801468,-0.1454652100801468,-0.14562520384788513,-0.14572522044181824,-0.14600537717342377,-0.15823642909526825,-0.14555521309375763,-0.15833644568920135,-0.14565524458885193,-0.1603085845708847,-0.14575523138046265
nci_obs_000041,-1.785465955734253,-1.785465955734253,-3.9926950931549072,-1.2398438453674316,-1.2398438453674316,-2.7316396236419678,-1.2398438453674316,-1.2398438453674316,-2.7316396236419678,-0.7645605206489563,-1.6084386110305786,-0.7645605206489563,-1.6084386110305786,-2.8048617839813232,-0.7645805478096008,-0.7645605206489563,-1.6084586381912231,-1.6084386110305786,-2.8048818111419678,-2.3421201705932617
nci_obs_000042,-2.912407875061035,-2.912407875061035,-6.52001428604126,-2.4246954917907715,-2.4246954917907715,-5.42704963684082,-2.4246954917907715,-2.4246954917907715,-5.42704963684082,-1.9576038122177124,-4.402103424072266,-1.9576038122177124,-4.402103424072266,-7.307125091552734,-1.9576038122177124,-1.9576038122177124,-4.402103424072266,-4.402103424072266,-7.307125091552734,-3.441863536834717
nci_obs_000043,-0.4395442306995392,-0.4399843215942383,-0.4465487003326416,-0.4395442306995392,-0.43955424427986145,-0.43962422013282776,-0.4415161609649658,-0.4395442306995392,-0.4509793519973755,-0.4395442306995392,-0.4395442306995392,-0.43959423899650574,-0.43970420956611633,-0.4401143491268158,-0.44765704870224,-0.43958422541618347,-0.4640726149082184,-0.43979424238204956,-0.4706743359565735,-0.43963423371315
