endpoint_id,score_focal_hla__roc__regime_2100,score_focal_hla__roc__regime_2101,score_focal_hla__roc__regime_2127,score_focal_hla__roc__regime_2153,score_focal_hla__roc__regime_2154,score_focal_hla__roc__regime_2275,score_focal_hla__roc__regime_2277,score_focal_hla__roc__regime_2278,score_focal_hla__roc__regime_2279,score_focal_hla__roc__regime_2326,score_focal_hla__roc__regime_2450,score_focal_hla__roc__regime_2452,score_focal_hla__roc__regime_2453,score_focal_hla__roc__regime_2454,score_focal_hla__roc__regime_2476,score_focal_hla__roc__regime_2625,score_focal_hla__roc__regime_2629,score_focal_hla__roc__regime_2653,score_focal_hla__roc__regime_2676,score_focal_hla__roc__regime_2677
nci_obs_000039,-1.002191424369812,-0.8537225723266602,-0.7418082356452942,-0.7027724385261536,-0.702692449092865,-0.7027824521064758,-0.702692449092865,-0.702692449092865,-0.702692449092865,-0.702692449092865,-0.7063877582550049,-0.702692449092865,-0.702692449092865,-0.702692449092865,-0.702692449092865,-0.7342057228088379,-0.702692449092865,-0.702692449092865,-0.7027424573898315,-0.702692449092865
nci_obs_000040,-0.7430977821350098,-0.5983472466468811,-0.5092096328735352,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4887676537036896,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.49601224064826965,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124
nci_obs_000041,-3.0415918827056885,-3.040921688079834,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117
nci_obs_000042,-5.800788879394531,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209
nci_obs_000043,-1.4618157148361206,-1.244530439376831,-1.1769241094589233,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1700001955032349,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1716915369033813,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126
nci_obs_000044,-0.9370215535163879,-0.7690203189849854,-0.6913595795631409,-0.6592975854873657,-0.6592975854873657,-0.6594275832176208,-0.6592975854873657,-0.6592975854873657,-0.6592975854873657,-0.6592975854873657,-0.6617305874824524,-0.6592975854873657,-0.6592975854873657,-0.6592975854873657,-0.6593275666236877,-0.6783784627914429,-0.6592975854873657,-0.6592975854873657,-0.6606585383415222,-0.6593275666236877
nci_obs_000045,-1.4135526418685913,-1.354467749595642,-1.3469164371490479,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.3466163873672485,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396
nci_obs_000046,-1.4768673181533813,-1.295771837234497,-1.183902382850647,-1.1077710390090942,-1.1074209213256836,-1.1076910495758057,-1.1074209213256836,-1.1074209213256836,-1.1074209213256836,-1.1074209213256836,-1.1215615272521973,-1.1074409484863281,-1.1074209213256836,-1.1074209213256836,-1.107951045036316,-1.1992830038070679,-1.1074209213256836,-1.1074209213256836,-1.1320947408676147,-1.1106455326080322
nci_obs_000047,-2.1683433055877686,-2.154334783554077,-2.1535847187042236,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.1535747051239014,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579
nci_obs_000048,-1.4329166412353516,-1.420493245124817,-1.4199731349945068,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199930429458618,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846
nci_obs_000049,-1.638758659362793,-1.4675965309143066,-1.380462408065796,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.350551724433899,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995
nci_obs_000050,-0.8700153231620789,-0.6695703864097595,-0.5921112895011902,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736492276191711,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5749200582504272,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821
nci_obs_000051,-2.0921695232391357,-2.067448854446411,-2.0655570030212402,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0656471252441406,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066
