ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
82,,duplicate_biological_key,mono_q_full_pn__pr__regime_2455,2605,104,5,104,15,6.75,3,4.5,2,1,0.944998086124402,0.530048130672277
83,,duplicate_biological_key,mono_q_full_pn__pr__regime_2630,2780,111,5,111,15,9,3,4.5,2,1,0.9454966507177034,0.529767527771542
84,,duplicate_biological_key,mono_q_full_pn__pr__regime_2630,2705,108,5,108,15,9,1.33,2,2,1,0.9469971291866028,0.5297486338731664
85,,duplicate_biological_key,mono_q_full_pn__pr__regime_2630,2755,110,5,110,15,9,2.17,3.25,2,1,0.9457464114832536,0.5296629925453007
86,,duplicate_biological_key,mono_q_full_pn__pr__regime_2128,2153,86,3,86,15,13.5,0.5,2,1,8,0.9613373205741627,0.5292698738190885
87,19,selected,mono_q_full_pn__pr__regime_1575,1575,63,0,63,13.89,4.17,0.5,0.75,1,1,0.9590851674641149,0.5292391779737312
88,20,selected,mono_q_full_pn__pr__regime_1930,1930,77,5,77,13.89,8.33,0.5,0.75,2,1,0.947911004784689,0.5290289561169335
89,,after_candidate_limit,,2103,84,3,84,15,13.5,0.5,0.75,1,8,0.9613454545454545,0.5286947202462552
90,,after_candidate_limit,,2580,103,5,103,15,6.75,2.17,3.25,2,1,0.9451239234449761,0.5286665875169134
91,,after_candidate_limit,,2730,109,5,109,15,9,1.33,3.67,2,1,0.9469511961722488,0.5283803215552761
92,,after_candidate_limit,,2104,84,4,84,15,13.5,0.5,0.75,1,15,0.961255023923445,0.5279126810570952
93,,after_candidate_limit,,2177,87,2,87,15,13.5,1.33,2,1,3,0.9554899521531101,0.5278011482593248
94,,after_candidate_limit,,1825,73,0,73,13.89,6.25,1.33,2,1,1,0.9548454545454546,0.5276324780265339
95,,after_candidate_limit,,2555,102,5,102,15,6.75,1.33,3.67,2,1,0.9462942583732057,0.5275927825176917
96,,after_candidate_limit,,2226,89,1,89,15,13.5,2.17,3.25,1,2,0.9532430622009569,0.5275925721700652
97,,after_candidate_limit,,2326,93,1,93,15,4.5,0.5,2,1,2,0.9610732057416268,0.5274637079579725
98,,after_candidate_limit,,2276,91,1,91,15,4.5,0.5,0.75,1,2,0.9610148325358852,0.5274300951527109
99,,after_candidate_limit,,2530,101,5,101,15,6.75,1.33,2,2,1,0.9462430622009569,0.5273297052518603
100,,after_candidate_limit,,2250,90,0,90,15,13.5,3,4.5,1,1,0.9521923444976077,0.5273238661029059
101,,after_candidate_limit,,2301,92,1,92,15,4.5,0.5,1.38,1,2,0.9610387559808612,0.527278909390925
102,,after_candidate_limit,,2154,86,4,86,15,13.5,0.5,2,1,15,0.9612244019138756,0.5270343635434747
103,,after_candidate_limit,,2502,100,2,100,15,6.75,0.5,2,1,3,0.9610234449760765,0.5268429437773848
104,,after_candidate_limit,,1050,42,0,42,12.78,5.75,0.5,0.75,1,1,0.9557282296650718,0.5267502760359657
105,,after_candidate_limit,,2129,85,4,85,15,13.5,0.5,1.38,1,15,0.9612167464114832,0.5267174625809355
106,,after_candidate_limit,,2477,99,2,99,15,6.75,0.5,1.38,1,3,0.9610162679425838,0.5266173215276932
107,,after_candidate_limit,,2452,98,2,98,15,6.75,0.5,0.75,1,3,0.9610454545454545,0.5263986722477778
108,,after_candidate_limit,,1955,78,5,78,13.89,8.33,0.5,1.38,2,1,0.9478497607655503,0.5260285373457873
109,,after_candidate_limit,,2105,84,5,84,15,13.5,0.5,0.75,2,1,0.9433368421052631,0.52596604243147
110,,after_candidate_limit,,2526,101,1,101,15,6.75,1.33,2,1,2,0.9591234449760766,0.5256927621280706
111,,after_candidate_limit,,2635,105,10,105,15,9,0.5,0.75,3,1,0.9420143540669856,0.5256678595378406
112,,after_candidate_limit,,2681,107,6,107,15,9,0.5,2,2,2,0.954065071770335,0.5255683059238244
113,,after_candidate_limit,,700,28,0,28,12.78,11.5,0.5,0.75,1,1,0.9568162679425838,0.5253593289182735
